id	name	wiki_title	description	wiki_url
DOID:0050156	xơ phổi vô căn	Idiopathic pulmonary fibrosis	Xơ phổi vô căn (IPF), trước đây gọi là viêm phế nang xơ hóa ẩn, là một bệnh tiến triển hiếm gặp của hệ hô hấp, đặc trưng bởi sự dày lên và cứng lại của mô phổi, bao quanh các túi khí và có liên quan đến sự hình thành mô sẹo. Đây là một loại xơ phổi mãn tính được đặc trưng bởi sự suy giảm chức năng phổi tiến triển và không thể đảo ngược. Các triệu chứng thường bao gồm khó thở dần dần và ho khan. Những thay đổi khác có thể bao gồm cảm giác mệt mỏi và cảm giác dùi cui (ngón tay và móng chân có hình vòm và to bất thường). Các biến chứng có thể bao gồm tăng huyết áp phổi, suy tim, viêm phổi hoặc tắc mạch phổi. Nguyên nhân chưa được biết rõ, do đó có thuật ngữ vô căn. Các yếu tố nguy cơ bao gồm hút thuốc lá, bệnh trào ngược dạ dày thực quản, một số bệnh nhiễm virus và khuynh hướng di truyền. Cơ chế cơ bản liên quan đến sẹo phổi. Chẩn đoán đòi hỏi phải loại trừ các nguyên nhân tiềm ẩn khác. Nó có thể được hỗ trợ bằng chụp CT độ phân giải cao hoặc sinh thiết phổi cho thấy viêm phổi kẽ thông thường. Đây là một loại bệnh phổi kẽ. Mọi người thường được hưởng lợi từ việc phục hồi chức năng phổi và bổ sung oxy. Thuốc chống rung như pirfenidone hoặc nintedanib có thể làm chậm sự tiến triển của bệnh. Ghép phổi cũng có thể là một lựa chọn. Khoảng 5 triệu người bị ảnh hưởng trên toàn cầu. Bệnh mới xảy ra ở khoảng 12 trên 100.000 người mỗi năm. Những người ở độ tuổi 60 và 70 thường bị ảnh hưởng nhiều nhất. Nam giới bị ảnh hưởng thường xuyên hơn nữ giới. Tuổi thọ trung bình sau chẩn đoán là khoảng bốn năm. Các hướng dẫn quốc tế cập nhật đã được xuất bản vào năm 2022, giúp đơn giản hóa việc chẩn đoán và loại bỏ thuốc kháng axit như một liệu pháp bổ trợ khả thi.	https://en.wikipedia.org/wiki/Idiopathic_pulmonary_fibrosis
DOID:0050425	hội chứng chân bồn chồn	Restless legs syndrome	Hội chứng chân không yên (RLS), còn được gọi là bệnh Willis–Ekbom (WED), là một chứng rối loạn thần kinh, thường là mãn tính, gây ra cảm giác thôi thúc muốn cử động chân quá mức. Thường có một cảm giác khó chịu ở chân được cải thiện tạm thời bằng cách di chuyển chúng. Cảm giác này thường được mô tả là đau nhức, ngứa ran hoặc bò lổm ngổm. Thỉnh thoảng, cánh tay cũng có thể bị ảnh hưởng. Cảm giác thường xảy ra khi nghỉ ngơi và do đó có thể khiến bạn khó ngủ. Giấc ngủ bị gián đoạn có thể khiến những người mắc RLS buồn ngủ vào ban ngày, năng lượng thấp và cáu kỉnh hoặc trầm cảm. Ngoài ra, nhiều người còn bị co giật chân tay khi ngủ, một tình trạng được gọi là rối loạn vận động chân tay định kỳ (PLMD). RLS không giống như thói quen dậm chân hoặc lắc chân.	https://en.wikipedia.org/wiki/Restless_legs_syndrome
DOID:0050741	nghiện rượu	Alcohol dependence	Nghiện rượu là chẩn đoán tâm thần trước đây (DSM-IV và ICD-10), trong đó một cá nhân phụ thuộc về thể chất hoặc tâm lý vào rượu (còn được gọi là ethanol về mặt hóa học). Vào năm 2013, nó được phân loại lại thành rối loạn sử dụng rượu trong DSM-5, kết hợp giữa nghiện rượu và lạm dụng rượu trong chẩn đoán này.	https://en.wikipedia.org/wiki/Alcohol_dependence
DOID:0050742	sự phụ thuộc vào nicotin	Nicotine dependence	"Sự phụ thuộc vào nicotin là tình trạng phụ thuộc chất vào nicotin. Đây là một căn bệnh mãn tính, tái phát, đặc trưng bởi cảm giác thèm sử dụng ma túy bất chấp hậu quả xã hội, mất kiểm soát việc sử dụng ma túy và xuất hiện các triệu chứng cai nghiện. Sự dung nạp là một thành phần khác của sự phụ thuộc vào ma túy. Sự phụ thuộc vào nicotin phát triển theo thời gian khi một cá nhân tiếp tục sử dụng nicotin. Mặc dù thuốc lá là sản phẩm thuốc lá được sử dụng phổ biến nhất nhưng tất cả các hình thức sử dụng thuốc lá—bao gồm cả thuốc lá không khói và thuốc lá điện tử—đều có thể gây nghiện. Sự phụ thuộc vào nicotin là một vấn đề sức khỏe cộng đồng nghiêm trọng vì nó dẫn đến việc tiếp tục sử dụng thuốc lá và những ảnh hưởng tiêu cực liên quan đến sức khỏe. Sử dụng thuốc lá là một trong những nguyên nhân gây tử vong hàng đầu có thể phòng ngừa được trên toàn thế giới, gây ra hơn 8 triệu ca tử vong mỗi năm và giết chết một nửa số người sử dụng thuốc lá không bỏ thuốc lá. Người ta ước tính rằng những người đang hút thuốc sẽ chết sớm hơn trung bình 10 năm so với những người không hút thuốc. Theo Tổ chức Y tế Thế giới, ""Sự phụ thuộc vào nicotine nhiều hơn đã được chứng minh là có liên quan đến động lực bỏ thuốc thấp hơn, khó cố gắng bỏ thuốc và không thể bỏ thuốc, cũng như hút điếu thuốc đầu tiên sớm hơn trong ngày và hút nhiều thuốc hơn mỗi ngày."" WHO ước tính có 1,24 tỷ người sử dụng thuốc lá trên toàn cầu vào năm 2022, con số này dự kiến ​​sẽ giảm xuống còn 1,2 tỷ vào năm 2025. Trong số 34 triệu người hút thuốc ở Hoa Kỳ vào năm 2018, 74,6% hút thuốc mỗi ngày, cho thấy khả năng phụ thuộc vào nicotin ở một mức độ nào đó. Tỷ lệ phụ thuộc nicotin ngày càng tăng ở những người bị rối loạn tâm thần, chẳng hạn như rối loạn lo âu và rối loạn sử dụng chất gây nghiện. Có nhiều phương pháp khác nhau để đo lường sự phụ thuộc vào nicotin. Các thang đánh giá phổ biến dành cho người hút thuốc lá bao gồm Thử nghiệm Fagerström về sự phụ thuộc vào Nicotine, Cẩm nang chẩn đoán và thống kê các tiêu chí Rối loạn tâm thần, Thang đo mức độ phụ thuộc vào thuốc lá, Thang đo hội chứng phụ thuộc vào Nicotine và Bản kiểm kê động cơ phụ thuộc vào thuốc lá của Wisconsin. Nicotine là một chất kích thích đối giao cảm, liên kết với các thụ thể acetylcholine nicotinic trong não. Tính dẻo thần kinh trong hệ thống khen thưởng của não, bao gồm sự gia tăng số lượng thụ thể nicotin, xảy ra do sử dụng nicotin lâu dài và dẫn đến sự phụ thuộc vào nicotin. Ngược lại, tác dụng của nicotin lên cấu trúc não người (ví dụ: chất xám và chất trắng) chưa rõ ràng. Các yếu tố nguy cơ di truyền góp phần vào sự phát triển của sự phụ thuộc. Ví dụ, các dấu hiệu di truyền đối với các loại thụ thể nicotinic cụ thể (các thụ thể nicotinic α5–α3–β4) có liên quan đến việc tăng nguy cơ phụ thuộc. Các phương pháp điều trị dựa trên bằng chứng—bao gồm các loại thuốc như liệu pháp thay thế nicotin, bupropion, varenicline hoặc cytisine và tư vấn hành vi—có thể tăng gấp đôi hoặc gấp ba cơ hội cai thuốc thành công của người hút thuốc."	https://en.wikipedia.org/wiki/Nicotine_dependence
DOID:0060073	ung thư hệ bạch huyết		Không tìm thấy mô tả.	
DOID:0060119	ung thư vòm họng	Head and neck cancer	Ung thư đầu và cổ là một thuật ngữ chung bao gồm nhiều bệnh ung thư có thể phát triển ở vùng đầu và cổ. Chúng bao gồm ung thư miệng, lưỡi, nướu và môi (ung thư miệng), hộp thoại (thanh quản), họng (mũi họng, hầu họng, hạ họng), tuyến nước bọt, mũi và xoang. Ung thư đầu và cổ có thể biểu hiện nhiều triệu chứng khác nhau tùy thuộc vào nơi ung thư phát triển. Chúng có thể bao gồm vết loét trong miệng không lành, thay đổi giọng nói, khó nuốt, mảng đỏ hoặc trắng trong miệng và u ở cổ.  Phần lớn ung thư đầu cổ là do sử dụng rượu hoặc thuốc lá (kể cả thuốc lá không khói). Ngày càng có nhiều trường hợp do vi rút u nhú ở người (HPV) gây ra. Các yếu tố nguy cơ khác bao gồm virus Epstein–Barr, nhai trầu (paan), phơi nhiễm phóng xạ, dinh dưỡng kém và phơi nhiễm tại nơi làm việc với một số chất độc hại. Khoảng 90% được phân loại bệnh lý là ung thư tế bào vảy. Chẩn đoán được xác nhận bằng sinh thiết mô. Mức độ xâm lấn mô xung quanh và lan rộng có thể được xác định bằng hình ảnh y tế và xét nghiệm máu. Không sử dụng thuốc lá hoặc rượu có thể làm giảm nguy cơ ung thư đầu và cổ. Khám răng định kỳ có thể giúp xác định các dấu hiệu trước khi ung thư phát triển. Vắc-xin HPV giúp ngăn ngừa ung thư vòm họng liên quan đến HPV. Điều trị có thể bao gồm sự kết hợp của phẫu thuật, xạ trị, hóa trị và liệu pháp nhắm mục tiêu. Ở giai đoạn đầu, ung thư đầu và cổ thường có thể chữa khỏi nhưng 50% số người đến gặp bác sĩ khi bệnh đã ở giai đoạn nặng.  Trên toàn cầu, ung thư đầu cổ trung bình gây ra 650.000 ca ung thư mới và trung bình 330.000 ca tử vong hàng năm. Năm 2018, đây là căn bệnh ung thư phổ biến thứ bảy trên toàn thế giới, với 890.000 trường hợp mới được ghi nhận và 450.000 người chết vì căn bệnh này. Độ tuổi thông thường khi chẩn đoán là từ 55 đến 65 tuổi. Tỷ lệ sống sót trung bình 5 năm sau chẩn đoán ở các nước phát triển là 42–64%.	https://en.wikipedia.org/wiki/Head_and_neck_cancer
DOID:10021	ung thư tá tràng		Không tìm thấy mô tả.	
DOID:10153	ung thư hồi tràng		Không tìm thấy mô tả.	
DOID:1024	bệnh cùi	Leprosy	"Bệnh phong, còn được gọi là bệnh Hansen (HD), là một bệnh nhiễm trùng lâu dài do vi khuẩn Mycobacteria leprae hoặc Mycobacteria lepromatosis. Nhiễm trùng có thể dẫn đến tổn thương dây thần kinh, đường hô hấp, da và mắt. Tổn thương thần kinh này có thể dẫn đến mất khả năng hấp thụ, có thể dẫn đến mất các bộ phận ở tứ chi của một người do bị thương nhiều lần hoặc nhiễm trùng do vết thương không được chú ý. Người bị nhiễm bệnh cũng có thể bị yếu cơ và mất thị lực. Các triệu chứng bệnh phong có thể bắt đầu trong vòng một năm hoặc mất 20 năm hoặc hơn. Bệnh phong lây lan giữa mọi người, mặc dù cần phải tiếp xúc rộng rãi. Bệnh phong có khả năng gây bệnh thấp và 95% số người mắc bệnh hoặc tiếp xúc với M. leprae không mắc bệnh. Khả năng lây lan là do ho hoặc tiếp xúc với chất lỏng từ mũi của người bị bệnh phong. Các yếu tố di truyền và chức năng miễn dịch cơ bản đóng một vai trò trong việc một người dễ mắc bệnh như thế nào. Bệnh phong không lây truyền sang thai nhi trong quá trình mang thai hoặc qua quan hệ tình dục qua bộ phận sinh dục. Có hai loại bệnh chính là ít trực khuẩn và đa vi khuẩn, khác nhau về số lượng vi khuẩn hiện diện. Một người mắc bệnh vi khuẩn có ít hơn 5 mảng da kém sắc tố, tê liệt, trong khi một người mắc bệnh đa vi khuẩn có hơn 5 mảng da. Chẩn đoán được xác nhận bằng cách tìm thấy trực khuẩn kháng axit trong sinh thiết da. Bệnh phong có thể chữa khỏi bằng liệu pháp đa thuốc. Điều trị bệnh phong ít trực khuẩn bằng thuốc dapsone, rifampicin và clofazimine trong sáu tháng. Điều trị bệnh phong đa vi khuẩn sử dụng cùng một loại thuốc trong 12 tháng. Một số loại kháng sinh khác cũng có thể được sử dụng. Những phương pháp điều trị này được Tổ chức Y tế Thế giới cung cấp miễn phí. Bệnh phong không có tính lây lan cao. Người mắc bệnh phong có thể sống cùng gia đình, đi học và đi làm. Vào những năm 1980, toàn cầu có 5,2 triệu ca bệnh nhưng đến năm 2020 con số này giảm xuống dưới 200.000. Hầu hết các trường hợp mới xảy ra ở một trong 14 quốc gia, trong đó Ấn Độ chiếm hơn một nửa số trường hợp mới. Trong 20 năm từ 1994 đến 2014, 16 triệu người trên toàn thế giới đã được chữa khỏi bệnh phong. Việc tách những người bị ảnh hưởng bởi bệnh phong bằng cách đặt họ vào các khu dành cho người cùi không có bằng chứng xác đáng nhưng cho đến cuối những năm 2000 vẫn diễn ra ở một số khu vực ở Ấn Độ, Trung Quốc, Nhật Bản, Châu Phi và Thái Lan. Bệnh phong đã ảnh hưởng đến nhân loại trong hàng ngàn năm. Căn bệnh này lấy tên từ tiếng Hy Lạp λέπρα (lépra), từ λεπίς (lepís; 'scale'), trong khi thuật ngữ ""bệnh Hansen"" được đặt theo tên của bác sĩ người Na Uy Gerhard Armauer Hansen. Bệnh phong từ lâu đã gắn liền với sự kỳ thị của xã hội, điều này tiếp tục là rào cản đối với việc tự báo cáo và điều trị sớm. Bệnh phong được xếp vào loại bệnh nhiệt đới bị lãng quên. Ngày Bệnh phong Thế giới được bắt đầu vào năm 1954 nhằm nâng cao nhận thức cho những người bị ảnh hưởng bởi bệnh phong. Nghiên cứu về bệnh phong và cách điều trị bệnh này được gọi là bệnh phong."	https://en.wikipedia.org/wiki/Leprosy
DOID:10283	ung thư tuyến tiền liệt	Prostate cancer	Ung thư tuyến tiền liệt là sự phát triển không kiểm soát của các tế bào ở tuyến tiền liệt, một tuyến trong hệ thống sinh sản nam giới bên dưới bàng quang. Sự phát triển bất thường của mô tuyến tiền liệt thường được phát hiện thông qua các xét nghiệm sàng lọc, điển hình là xét nghiệm máu để kiểm tra mức kháng nguyên đặc hiệu tuyến tiền liệt (PSA). Những người có nồng độ PSA cao trong máu có nguy cơ mắc ung thư tuyến tiền liệt cao hơn.  Chẩn đoán đòi hỏi phải sinh thiết tuyến tiền liệt. Nếu có ung thư, nhà nghiên cứu bệnh học sẽ cho điểm Gleason; điểm cao hơn thể hiện khối u nguy hiểm hơn. Hình ảnh y tế được thực hiện để tìm kiếm ung thư đã lan ra ngoài tuyến tiền liệt. Dựa trên điểm Gleason, mức PSA và kết quả hình ảnh, trường hợp ung thư được phân loại từ giai đoạn 1 đến 4. Giai đoạn cao hơn biểu thị bệnh tiến triển hơn, nguy hiểm hơn. Hầu hết các khối u tuyến tiền liệt đều có kích thước nhỏ và không gây ra vấn đề gì về sức khỏe. Chúng được quản lý bằng sự giám sát tích cực, theo dõi khối u bằng các xét nghiệm thường xuyên để đảm bảo nó không phát triển. Các khối u nguy hiểm hơn có thể bị phá hủy bằng xạ trị hoặc phẫu thuật cắt bỏ tuyến tiền liệt triệt để. Những người bị ung thư lan ra ngoài tuyến tiền liệt sẽ được điều trị bằng liệu pháp hormone, làm giảm nồng độ androgen (hormone giới tính nam hóa) mà tế bào tuyến tiền liệt cần để tồn tại. Cuối cùng, các tế bào ung thư có thể phát triển đề kháng với phương pháp điều trị này. Giai đoạn tiến triển nhất của bệnh, được gọi là ung thư tuyến tiền liệt kháng thiến, được điều trị bằng liệu pháp hormone liên tục cùng với thuốc hóa trị docetaxel.  Một số khối u di căn (lan rộng) sang các khu vực khác của cơ thể, đặc biệt là xương và hạch bạch huyết. Ở đó, các khối u gây đau xương nghiêm trọng, yếu chân hoặc tê liệt và cuối cùng là tử vong. Tiên lượng ung thư tuyến tiền liệt phụ thuộc vào mức độ lan rộng của ung thư khi chẩn đoán. Hầu hết nam giới được chẩn đoán đều có khối u nguy cơ thấp chỉ giới hạn ở tuyến tiền liệt; 99% trong số họ sống sót sau hơn 10 năm kể từ khi được chẩn đoán. Các khối u đã di căn đến các vị trí xa trong cơ thể là nguy hiểm nhất, với tỷ lệ sống sót sau 5 năm là 30–40%. Nguy cơ phát triển ung thư tuyến tiền liệt tăng theo tuổi tác; độ tuổi trung bình được chẩn đoán là 67. Những người có tiền sử gia đình mắc bất kỳ bệnh ung thư nào có nhiều khả năng mắc ung thư tuyến tiền liệt hơn, đặc biệt là những người thừa hưởng các biến thể liên quan đến ung thư của gen BRCA2. Mỗi năm, 1,2 triệu trường hợp ung thư tuyến tiền liệt được chẩn đoán và 350.000 người chết vì căn bệnh này, khiến ung thư trở thành nguyên nhân đứng thứ hai gây ung thư và tử vong do ung thư ở nam giới. Cứ tám người đàn ông thì có một người được chẩn đoán mắc bệnh ung thư tuyến tiền liệt trong đời và cứ bốn mươi người thì có một người chết vì căn bệnh này.  Các khối u tuyến tiền liệt được mô tả lần đầu tiên vào giữa thế kỷ 19, trong các ca phẫu thuật ở nam giới bị tắc nghẽn đường tiết niệu. Ban đầu, phẫu thuật cắt bỏ tuyến tiền liệt là phương pháp điều trị chính cho bệnh ung thư tuyến tiền liệt. Đến giữa thế kỷ 20, phương pháp điều trị bằng bức xạ và liệu pháp hormone đã được phát triển để cải thiện việc điều trị ung thư tuyến tiền liệt. Việc phát minh ra liệu pháp hormone điều trị ung thư tuyến tiền liệt đã được công nhận với Giải thưởng Nobel năm 1966 cho Charles Huggins và Giải thưởng năm 1977 cho Andrzej W. Schally.	https://en.wikipedia.org/wiki/Prostate_cancer
